Artist,Listeners
The Weeknd,120693473
Bruno Mars,109484608
Billie Eilish,107988255
Lady Gaga,105330423
Taylor Swift,93297811
Coldplay,92833394
Rihanna,86689530
Sabrina Carpenter,82407569
Justin Bieber,81367610
Ariana Grande,79805588
Eminem,79384674
Post Malone,78603281
David Guetta,77115966
Ed Sheeran,75626249
Drake,75536528
Travis Scott,71575499
Kanye West,67559627
SZA,67098935
Calvin Harris,66123501
Dua Lipa,65881895
Kendrick Lamar,65761202
Shakira,65069977
Bad Bunny,64970190
Maroon 5,64430172
Imagine Dragons,62635080
Lana Del Rey,62328606
Adele,62264515
Katy Perry,61803550
KAROL G,60410744
Linkin Park,60105891
Marshmello,58882840
Sia,57307649
Future,56936066
Miley Cyrus,56682198
J Balvin,56324850
Playboi Carti,55414391
Beyoncé,55363635
Arctic Monkeys,54157523
Khalid,53938733
OneRepublic,53867264
Daddy Yankee,53542323
Sam Smith,53167810
Queen,53088782
Metro Boomin,52477523
Hozier,52381038
Benson Boone,51593439
21 Savage,51526903
Doja Cat,51499303
Chris Brown,50233823
The Chainsmokers,49545257
